title,year,review_text,rating,source
Uri: The Surgical Strike,2018,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",8.2,IMDB
K.G.F: Chapter 1,2018,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",8.2,IMDB
Green Book,2018,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,IMDB
"Three Billboards Outside Ebbing, Missouri",2017,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,8.2,IMDB
Talvar,2015,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,8.2,IMDB
Baahubali 2: The Conclusion,2017,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",8.2,IMDB
Klaus,2019,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",8.2,IMDB
Drishyam,2015,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,IMDB
Queen,2013,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,8.2,IMDB
Mandariinid,2013,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",8.2,IMDB
Bhaag Milkha Bhaag,2013,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,8.2,IMDB
Gangs of Wasseypur,2012,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,IMDB
Udaan,2010,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",8.2,IMDB
Paan Singh Tomar,2012,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",8.2,IMDB
El secreto de sus ojos,2009,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,8.2,IMDB
Warrior,2011,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",8.2,IMDB
Shutter Island,2010,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",8.2,IMDB
Up,2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.2,IMDB
The Wolf of Wall Street,2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,IMDB
Chak De! India,2007,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,8.2,IMDB
There Will Be Blood,2007,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",8.2,IMDB
Pan's Labyrinth,2006,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",8.2,IMDB
Toy Story 3,2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",8.2,IMDB
V for Vendetta,2005,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",8.2,IMDB
Rang De Basanti,2006,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",8.2,IMDB
Black,2005,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",8.2,IMDB
Batman Begins,2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",8.2,IMDB
"Swades: We, the People",2004,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,8.2,IMDB
Der Untergang,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",8.2,IMDB
Hauru no ugoku shiro,2004,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",8.2,IMDB
A Beautiful Mind,2001,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",8.2,IMDB
Hera Pheri,2000,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",8.2,IMDB
"Lock, Stock and Two Smoking Barrels",1998,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",8.2,IMDB
L.A. Confidential,1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",8.2,IMDB
Eskiya,1996,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",8.2,IMDB
Heat,1995,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,8.2,IMDB
Casino,1995,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",8.2,IMDB
Andaz Apna Apna,1994,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,8.2,IMDB
Unforgiven,1992,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",8.2,IMDB
Indiana Jones and the Last Crusade,1989,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",8.2,IMDB
Dom za vesanje,1988,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",8.2,IMDB
Tonari no Totoro,1988,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",8.2,IMDB
Die Hard,1988,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,8.2,IMDB
Ran,1985,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",8.2,IMDB
Raging Bull,1980,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",8.2,IMDB
Stalker,1979,A guide leads two men through an area known as the Zone to find a room that grants wishes.,8.2,IMDB
Höstsonaten,1978,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",8.2,IMDB
The Message,1976,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,8.2,IMDB
Sholay,1975,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",8.2,IMDB
Monty Python and the Holy Grail,1975,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",8.2,IMDB
The Great Escape,1963,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,8.2,IMDB
To Kill a Mockingbird,1962,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",8.2,IMDB
Yôjinbô,1961,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,8.2,IMDB
Judgment at Nuremberg,1961,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",8.2,IMDB
Some Like It Hot,1959,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,IMDB
Smultronstället,1957,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",8.2,IMDB
Det sjunde inseglet,1957,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",8.2,IMDB
Du rififi chez les hommes,1955,"Four men plan a technically perfect crime, but the human element intervenes...",8.2,IMDB
Dial M for Murder,1954,A former tennis player tries to arrange his wife's murder after learning of her affair.,8.2,IMDB
Tôkyô monogatari,1953,"An old couple visit their children and grandchildren in the city, but receive little attention.",8.2,IMDB
Rashômon,1950,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",8.2,IMDB
All About Eve,1950,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,8.2,IMDB
The Treasure of the Sierra Madre,1948,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,8.2,IMDB
